Trial,Hidden_Layers,Activation,Learning_Rate,Alpha,Batch_Size,Max_Iter,Val_Accuracy,Val_Recall,Val_F1,Val_ROC_AUC,Training_Time_Sec
1,"(32, 16)",relu,0.005,0.0001,32,400,0.853448275862069,0.8048780487804879,0.7951807228915663,0.8611382113821139,1.2321
2,"(64, 32)",relu,0.001,0.001,32,400,0.8620689655172413,0.8536585365853658,0.813953488372093,0.8855284552845528,1.6634
3,"(128, 64)",relu,0.001,0.005,32,500,0.8189655172413793,0.8048780487804879,0.7586206896551724,0.8734959349593496,1.3899
4,"(64, 32)",relu,0.002,0.01,64,400,0.8362068965517241,0.8048780487804879,0.7764705882352941,0.8777235772357723,0.6225
5,"(128, 32)",relu,0.001,0.001,32,500,0.8362068965517241,0.8536585365853658,0.7865168539325843,0.88130081300813,1.587
6,"(64, 32, 16)",relu,0.001,0.005,32,400,0.853448275862069,0.8536585365853658,0.8045977011494253,0.8819512195121951,1.9775
